node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
apology,17,0.002457002,4.96E-08,0.003248784,5.41E-05,0
app,19,0.002746062,1.16E-06,0.00260921,6.67E-05,0
appalachia,20,0.002890591,6.56E-07,0.002427291,8.17E-05,9
apparent,46,0.00664836,2.23E-06,0.006702381,8.55E-05,0
apparently,15,0.002167943,1.91E-09,0.002895567,5.09E-05,0
appear,290,0.041913571,0.000157142,0.018265836,0.00028369,7
appearance,99,0.014308426,1.98E-05,0.010935535,0.000138952,6
appendix,87,0.012574071,8.43E-06,0.010513997,0.000141585,4
appetite,38,0.005492123,6.89E-06,0.004640275,0.00010694,6
apple,56,0.008093655,3.33E-06,0.006539353,0.000102193,0
applicable,60,0.008671773,6.27E-06,0.007490535,0.000112644,3
application,453,0.065471889,0.000730032,0.029327864,0.000516617,2
application.228,20,0.002890591,2.87E-07,0.003554371,7.01E-05,2
applied,19,0.002746062,8.10E-09,0.003944387,5.22E-05,2
apply,512,0.073999133,0.000613339,0.028802682,0.000498884,2
appointment,507,0.073276485,0.000628791,0.02808011,0.00046888,2
