node,x,y,is_AMS
adolescence,-0.1452484352990908,0.05004624861121133,0
adolescent,0.004038816607725371,0.1872189135477152,0
adopt,0.10316255673451681,-0.16233271539240568,0
adrenal,-0.5468559113534892,0.12764518838751762,0
adulthood,-0.2462700251733406,-0.17543375992582164,0
advance,0.042073187188380545,0.048455359385096056,0
advanced,0.15528653007998056,0.18780019433711279,0
advancement,0.30304465640103434,0.03402761581206759,0
advantage,0.21422095287862378,-0.18440805517652858,0
advantageous,-0.15417992765641342,0.2089806587213621,0
adverse,-0.3227685451280469,-0.39339587997170516,0
adversely,-0.08273820888892988,-0.031161299854799977,0
advertise,0.17024904342517916,-0.1491448051553433,0
advertisement,-0.2399700244507383,0.11570011572630551,0
advertisementadvertisement,0.14511059668311543,0.47472048338528217,0
advertising,0.1417998819904454,0.24602529910958013,0
advice,0.1684318325245273,0.09348445022723044,0
advisable,0.024344977494316113,0.1040809915948012,0
advise,-0.12670449192400043,0.0522951761633569,0
advisory,0.04590853328717125,0.3704444709855857,0
advocate,0.20891833551722022,-0.019983738939606106,0
aerobic,0.19528989300815172,-0.4425518543408617,0
aesthetic,0.16867810150967588,-0.264573551837952,0
aetiology,-0.30821771099519313,-0.1435719486790227,0
affected,0.32294780203915335,-0.13475029113379808,0
affiliate,0.26350089885679284,-0.0013050459746174804,0
affiliation,0.15287695082812386,0.05346913000048123,0
affinity,-0.16502813558001656,-0.1142991211382431,0
affirm,0.37881605397723034,0.012763401928493023,0
affordable,0.10881617580755076,-0.14285829786177542,0
afraid,0.11626932824846417,-0.024522972962719308,0
african,-0.2114388938494726,0.03412210073136315,0
afternoon,-0.09474397078053502,0.11928996698795626,0
afterthought,0.21035619612652334,-0.10216394004778534,0
afterward,-0.09688905605199909,-0.35951164822523357,0
ag030644,0.1814763089850849,0.32007839416878064,0
aga,-0.152244681273136,-0.1353663572140744,0
aged,-0.10897299911067033,0.31002370427414744,0
ageing,-0.20301255624592893,0.04739702259878154,0
agency,-0.031547811647376536,0.15321713521180066,0
agent,-0.15852165449316416,-0.17385596065600564,0
agents.437,-0.13245686495586473,-0.23590035085737776,0
aggression,0.08833259129460959,0.02033385204641763,0
aggressive,-0.17341125245794808,-0.08440672311457895,0
ago,0.2098369000455168,-0.09797507924898956,0
agonist,-0.048796147310036564,-0.2502753349020828,0
agree,0.08442240220420974,-0.0169732760993218,0
agreement,-0.12050180525613723,-0.040542446842711494,0
ahead,0.13386633582747776,-0.11641371863924081,0
aid,-0.02270492195575665,-0.22308698641098676,0
aids,-0.3560735285716344,-0.06021063631469197,0
ail,0.28330850417810216,-0.03503190958068415,0
ailment,0.29915764538867773,-0.0706357573938225,0
aim,-0.16623360841568072,-0.011351714732151037,0
air,0.03740039158859756,-0.19075555241658854,0
airflow,0.07421161725785885,-0.19133772034744884,0
airway,-0.05090148858963359,-0.23463909311121567,0
ais,-0.1873015700539375,-0.19728680403757812,0
ajpregu.00360.2012,-0.022633739191103123,0.5287553491972066,0
aka,0.04698601188135447,-0.017288871301332755,0
akhil,-0.21378120641391032,0.3716057205455866,0
al.4,-0.0808223855958612,0.2564395596070015,0
al.446,-0.1635917130199688,-0.08077494326429914,0
alabama,0.2799599863362686,0.29674714085111986,0
alan,0.23092658079624068,0.22710496415166062,0
alanine,-0.552790236966604,0.017747390474007318,0
alarm,0.0762364148233729,-0.07834626419334884,0
alarming,-0.11583027029963006,0.06361046235625356,0
albeit,-0.1985395880379791,-0.030386421508283884,0
albert,0.15456127686932394,0.3159799741225074,0
albumin,-0.3048581669919088,0.09220443112460953,0
alcohol,0.10630060916972559,-0.5078931137306011,0
alcoholism,-0.41064265907671943,-0.18568200671224694,0
aldosterone,-0.22238233181414566,-0.1231574138477387,0
aleksandr,-0.00324769716284309,0.10710929211556212,0
aleksic,-0.17524200282122154,0.3254841346258705,0
alert,0.1354011911247027,0.1783437910206847,0
alertness,0.5043310658076707,-0.16349465119154152,0
alex,0.15555117689963563,-0.04739592579385559,0
alexandria,0.3064952043978314,-0.05367086932490846,0
algorithm,0.1342462836780275,0.29176287912644033,0
ali,0.13868343949378384,0.19486538698805433,0
align,-0.09556540717836887,-0.09986830455582626,0
alive,-0.002483031646908169,0.08810994331916087,0
alkaline,-0.5459588448001595,0.007804861280451532,0
alkylated,0.4900217288443843,0.33205006493526756,0
allan,0.09737452437290259,0.6107488267781769,0
allegiance,0.07167310522769481,-0.0436490659227266,0
allergic,-0.029379581737373657,-0.19188545179761085,0
allergy,-0.03337185554385462,0.2520808420062175,0
alleviate,0.02451411608750233,-0.38935777933877,0
allicin,-0.034467994650825964,-0.31182312523380146,0
allow,-0.4780597855858248,0.12174872867778339,0
allowance,0.10740897615132007,0.03472283354412866,0
allude,0.2559173963195547,-0.049026930114515144,0
almeida,0.2579482415498306,0.33490386159670177,0
alongside,-0.130553793483312,-0.04544136060841695,0
alopecia,-0.09656397312468534,-0.17107586731800958,0
alpha,-0.1251821782264522,-0.21785703600877396,0
alprostadil,-0.11661162065551986,-0.39923058268519257,0
alter,0.025142890856166774,0.02604995360766232,0
alteration,-0.08858035239256053,-0.22483242044037688,0
altered,0.03974077898001087,-0.27372375252690545,0
alternative,0.017731705889679185,-0.38178705429465537,0
alternatively,0.044144759642518704,-0.15976657567827868,0
altitude,0.011007018743002719,-0.21178536455661168,0
altogether,-0.050564351060275924,0.004998504577181476,0
alvin,0.0406648460425457,0.44953229126070576,0
amalgamation,-0.12678578295100454,0.08821921102292819,0
amazing,0.3217276495767439,-0.04445066535506977,0
ambiguous,-0.2690409270002763,-0.13790435623469333,0
ambulatory,0.3210344074288978,0.25894600653737027,0
ameliorate,-0.2777400617479235,-0.22124906517415296,0
amend,-0.2107226442316197,-0.19811253550625896,0
america,0.06663250839617577,0.0795362513326916,0
america(r,0.2521882049390178,0.39241121318595934,0
american,0.07377872747172963,0.2913549594301882,0
americana,0.16690112960688022,0.26670119168615547,0
