node,deg,deg_norm,betweenness,eigenvector,pagerank,community
creamy,10,0.0014452955629426219,3.3130715274441476e-07,0.0028849521379176496,5.790152502613315e-05,1
create,288,0.04162451221274751,0.0008536664997685607,0.029047592851877423,0.0005164222163369931,1
creatinine,10,0.0014452955629426219,2.2946534008534752e-06,0.001477148666940953,7.708714790002926e-05,7
creation,20,0.0028905911258852437,6.250410918739801e-06,0.004627454331559104,7.682980441105086e-05,11
creativity,10,0.0014452955629426219,2.2230309623390564e-07,0.0023778039942393726,6.147188123109712e-05,7
credential,20,0.0028905911258852437,3.8701513455497284e-06,0.004969031672977576,8.360463818217148e-05,3
crisis,50,0.007226477814713109,1.1607408467837402e-05,0.009614847818350427,0.0001508555777545142,0
crisp,10,0.0014452955629426219,7.127466225919994e-08,0.0030414068467308937,5.933553999726683e-05,0
criteria.411,10,0.0014452955629426219,4.3552693446742724e-08,0.002800891079354607,5.409075248573944e-05,2
criterion,124,0.01792166498048851,6.11704547679555e-05,0.01831517647806204,0.00025356210960747,1
critical,136,0.019656019656019656,0.0001203336391894047,0.018804736586794928,0.00025455272504295093,6
critically,19,0.0027460615695909813,8.876448645372257e-07,0.004982632694449516,7.148012504715415e-05,11
critter,9,0.0013007660066483597,7.32661188675899e-08,0.002389228103829205,5.564635365906163e-05,0
cross,28,0.004046827576239341,3.474385215396803e-05,0.005240008821637932,0.00011603777961188953,0
crown,10,0.0014452955629426219,3.3430393184219156e-07,0.002296347061203343,6.251517024700076e-05,6
crucial,177,0.025581731464084406,9.906465233338207e-05,0.023095906859061485,0.0003040729634926457,3
crucially,9,0.0013007660066483597,1.7582085193201947e-08,0.0022402040944933185,4.811325467116341e-05,2
crude,10,0.0014452955629426219,4.086277669402303e-08,0.0024380526386863647,5.253006040128837e-05,2
cry,13,0.0018788842318254082,1.1740509332694922e-07,0.0035610296892685297,6.355836363115216e-05,0
cryptorchidism,36,0.005203064026593439,5.3581188931846887e-05,0.0047969860397006694,0.00014919592594198912,7
crystal,10,0.0014452955629426219,2.4051587119722653e-07,0.0016664396144857757,7.279291532296861e-05,10
crystalize,10,0.0014452955629426219,5.7143940213506664e-08,0.002908136596250785,5.1100667674741906e-05,1
crystalline,10,0.0014452955629426219,1.1271119519478826e-07,0.0026683305041912873,5.5517433324763066e-05,1
crystallised,10,0.0014452955629426219,2.294167895952086e-07,0.002672003299926485,5.400533838447549e-05,1
crystallography,10,0.0014452955629426219,9.54184854721676e-07,0.0024511811085929174,6.800244374145564e-05,10
cua,41,0.005925711808064749,1.749890677657313e-05,0.007413889148819363,0.00014220331839114332,11
cuaj,52,0.007515536927301633,7.271864574256262e-05,0.006628794913854823,0.00020318036800855545,2
cuban,10,0.0014452955629426219,7.754976305116189e-08,0.0029744540494654756,5.585038410962173e-05,0
cue,10,0.0014452955629426219,1.107142777096594e-08,0.0033410423581241838,4.626939643234736e-05,6
cuff,9,0.0013007660066483597,7.518758291590635e-08,0.002151477645932826,5.662839146066708e-05,6
cui,10,0.0014452955629426219,4.5019964917387865e-07,0.0017119818013331674,7.058434691318897e-05,2
culley,10,0.0014452955629426219,1.673547498981161e-05,0.001189636290034347,8.845882518099715e-05,11
culprit,19,0.0027460615695909813,2.420221729731756e-07,0.005421828314468473,6.797565201101325e-05,7
cultivate,18,0.0026015320132967193,1.3881146310716737e-06,0.004467378685194819,7.926890989562239e-05,5
cultural,28,0.004046827576239341,6.8126451316336875e-06,0.006239921459871241,0.00010522686711557006,5
culturally,10,0.0014452955629426219,3.061288414394353e-07,0.0024157536072677024,6.0983422993479756e-05,5
culture,44,0.006359300476947536,1.2723036653094796e-05,0.00970118043632119,0.0001282878940206812,0
cumbersome,10,0.0014452955629426219,2.635863567896469e-06,0.0023671744891715315,6.08259272268052e-05,1
cumbria,10,0.0014452955629426219,6.580537653757778e-07,0.0016637081253113085,7.252553416781152e-05,3
cumulative,37,0.0053475935828877,6.392904998783872e-06,0.008311667158932692,0.00010144979127910262,1
cunningham,44,0.006359300476947536,0.00040193341199915776,0.0028920248125978696,0.00025240695996446143,11
cup,10,0.0014452955629426219,9.023054387346261e-07,0.0020685859848892834,5.959337453601506e-05,0
cure,114,0.016476369417545888,5.333384865302829e-05,0.017362011908023153,0.00022177967577429968,0
curiosity,25,0.0036132389073565544,1.4353410047074287e-06,0.005983421739359493,8.772388715232911e-05,0
curious,44,0.006359300476947536,1.495104371191751e-05,0.008801975863823596,0.0001377673548187216,0
curr,10,0.0014452955629426219,1.390912485575949e-06,0.0016678842393818563,7.608630116608955e-05,11
current,318,0.04596039890157537,0.00047093091171380275,0.034604549395845154,0.0004999907998930687,3
currently,180,0.02601532013296719,0.00023715955603996692,0.0232562818207095,0.00032777283441842486,1
curvature,18,0.0026015320132967193,4.635474737839091e-06,0.0037197591798840313,9.297566825338477e-05,1
curve,10,0.0014452955629426219,6.217345591276169e-07,0.002126862146580435,6.743360993450289e-05,1
cushe,10,0.0014452955629426219,1.5638358617900433e-07,0.00225167786890286,6.0233989334851405e-05,7
cushing,12,0.001734354675531146,3.645361400065225e-08,0.0032741099882506093,5.3748250579537874e-05,7
custom,20,0.0028905911258852437,2.3833420553334144e-07,0.006138763646513458,7.356456340031052e-05,3
